business_name,city,category,website,domain,source_url,google_maps_url,place_id
PlanB Mice,Muratpaşa,DMC/MICE,https://www.planbmice.com.tr/,planbmice.com.tr,,https://www.google.com/maps/search/?api=1&query=PlanB%20Mice&query_place_id=ChIJR6kykO2RwxQRDgc-45_7zGU,ChIJR6kykO2RwxQRDgc-45_7zGU
Academy Mice,Kepez,DMC/MICE,https://academymice.com/,academymice.com,,https://www.google.com/maps/search/?api=1&query=Academy%20Mice&query_place_id=ChIJeYNYMJvmNwERFQ-npWiPrnc,ChIJeYNYMJvmNwERFQ-npWiPrnc
ANTALYA TOURS,Muratpaşa,Seyahat/Turizm,https://www.antalya-tours.com/,antalya-tours.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Tours&query_place_id=ChIJy7xtYemRwxQR1kKYNMXqL2A,ChIJy7xtYemRwxQR1kKYNMXqL2A
Buse Turizm,Muratpaşa,Seyahat/Turizm,http://www.busetatravel.com/,busetatravel.com,,https://www.google.com/maps/search/?api=1&query=Buse%20Turizm&query_place_id=ChIJDcHoFp-RwxQR_Q6i9cId-gM,ChIJDcHoFp-RwxQR_Q6i9cId-gM
Tatilsepeti.com Antalya Merkez,Muratpaşa,Seyahat/Turizm,https://www.tatilsepeti.com/,tatilsepeti.com,,https://www.google.com/maps/search/?api=1&query=Tatilsepeti.com%20Antalya%20Merkez&query_place_id=ChIJ9zXvPZKRwxQRO2IqMklE2pw,ChIJ9zXvPZKRwxQRO2IqMklE2pw
PAMUKKALE TURİZM,Muratpaşa,Seyahat/Turizm,https://www.pamukkale.com.tr/,pamukkale.com.tr,,https://www.google.com/maps/search/?api=1&query=PAMUKKALE%20TUR%C4%B0ZM&query_place_id=ChIJpX1C4RGRwxQRf1nLruR0dHQ,ChIJpX1C4RGRwxQRf1nLruR0dHQ
A11 Turizm,Muratpaşa,Seyahat/Turizm,https://www.a11turizm.com/,a11turizm.com,,https://www.google.com/maps/search/?api=1&query=A11%20Turizm&query_place_id=ChIJ2fZ-S8qRwxQRBdFLOj5zVpM,ChIJ2fZ-S8qRwxQRBdFLOj5zVpM
Nirvana Tour,Muratpaşa,Seyahat/Turizm,https://www.nirvanatour.com/,nirvanatour.com,,https://www.google.com/maps/search/?api=1&query=Nirvana%20Tour&query_place_id=ChIJ6a2m5qWRwxQRlKVPt8MsFr4,ChIJ6a2m5qWRwxQRlKVPt8MsFr4
Tez Tour Antalya,Muratpaşa,Seyahat/Turizm,https://www.teztour.com/,teztour.com,,https://www.google.com/maps/search/?api=1&query=Tez%20Tour%20Antalya&query_place_id=ChIJsY4N7lKRwxQR4gGXckHX1fA,ChIJsY4N7lKRwxQR4gGXckHX1fA
Coral Travel Antalya,Muratpaşa,Seyahat/Turizm,https://www.coraltour.com/,coraltour.com,,https://www.google.com/maps/search/?api=1&query=Coral%20Travel%20Antalya&query_place_id=ChIJYVn8LqWRwxQRV_0kEJu8aV4,ChIJYVn8LqWRwxQRV_0kEJu8aV4
TUI Antalya,Muratpaşa,Seyahat/Turizm,https://www.tui.com/,tui.com,,https://www.google.com/maps/search/?api=1&query=TUI%20Antalya&query_place_id=ChIJ15QZhpKRwxQRQgJ6xyYQ8-o,ChIJ15QZhpKRwxQRQgJ6xyYQ8-o
Anex Tour Antalya,Muratpaşa,Seyahat/Turizm,https://www.anextour.com/,anextour.com,,https://www.google.com/maps/search/?api=1&query=Anex%20Tour%20Antalya&query_place_id=ChIJNwVgkYqRwxQRBv83xYfSvlw,ChIJNwVgkYqRwxQRBv83xYfSvlw
Pegas Touristik Antalya,Muratpaşa,Seyahat/Turizm,https://www.pegast.ru/,pegast.ru,,https://www.google.com/maps/search/?api=1&query=Pegas%20Touristik%20Antalya&query_place_id=ChIJvW5aYZKRwxQRkZ5w6mUddMA,ChIJvW5aYZKRwxQRkZ5w6mUddMA
Meeting Point Turkey,Muratpaşa,Seyahat/Turizm,https://www.meeting-point.com/,meeting-point.com,,https://www.google.com/maps/search/?api=1&query=Meeting%20Point%20Turkey&query_place_id=ChIJm2xg4KiRwxQRvKYzScSPX4g,ChIJm2xg4KiRwxQRvKYzScSPX4g
BTS Tur,Muratpaşa,Seyahat/Turizm,https://www.btstur.com/,btstur.com,,https://www.google.com/maps/search/?api=1&query=BTS%20Tur&query_place_id=ChIJ3y8NGYmRwxQRdGAcRhtSIL8,ChIJ3y8NGYmRwxQRdGAcRhtSIL8
Konyaaltı Travel,Konyaaltı,Seyahat/Turizm,https://www.konyaaltitravel.com/,konyaaltitravel.com,,https://www.google.com/maps/search/?api=1&query=Konyaalt%C4%B1%20Travel&query_place_id=ChIJSBGBWk-GwxQR8cRE0P_xPKQ,ChIJSBGBWk-GwxQR8cRE0P_xPKQ
Maxi Tour,Muratpaşa,Seyahat/Turizm,https://www.maxitour.com.tr/,maxitour.com.tr,,https://www.google.com/maps/search/?api=1&query=Maxi%20Tour&query_place_id=ChIJVSG5k5qRwxQRbz0JuXpEJ6w,ChIJVSG5k5qRwxQRbz0JuXpEJ6w
Akay Travel,Muratpaşa,Seyahat/Turizm,https://www.akaytravel.com.tr/,akaytravel.com.tr,,https://www.google.com/maps/search/?api=1&query=Akay%20Travel&query_place_id=ChIJY-evXoaRwxQRhSrEGP5Y-pA,ChIJY-evXoaRwxQRhSrEGP5Y-pA
Antalya Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyatravel.com/,antalyatravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Travel&query_place_id=ChIJp4MzgKeRwxQRTj4E-HXvQww,ChIJp4MzgKeRwxQRTj4E-HXvQww
Akdeniz Travel,Muratpaşa,Seyahat/Turizm,https://www.akdeniztravel.com.tr/,akdeniztravel.com.tr,,https://www.google.com/maps/search/?api=1&query=Akdeniz%20Travel&query_place_id=ChIJTbRHIhGRwxQRxGsvMVvUxHE,ChIJTbRHIhGRwxQRxGsvMVvUxHE
Bamtur,Muratpaşa,Seyahat/Turizm,https://www.bamtur.com.tr/,bamtur.com.tr,,https://www.google.com/maps/search/?api=1&query=Bamtur&query_place_id=ChIJWdb4BYyRwxQRM0dPDQ-HQb0,ChIJWdb4BYyRwxQRM0dPDQ-HQb0
Didim Tur,Muratpaşa,Seyahat/Turizm,https://www.didimtur.com.tr/,didimtur.com.tr,,https://www.google.com/maps/search/?api=1&query=Didim%20Tur&query_place_id=ChIJ4h17nuORwxQRkUgvE1fPjZM,ChIJ4h17nuORwxQRkUgvE1fPjZM
Ets Tur Antalya,Muratpaşa,Seyahat/Turizm,https://www.etstur.com/,etstur.com,,https://www.google.com/maps/search/?api=1&query=Ets%20Tur%20Antalya&query_place_id=ChIJrUhCFoORwxQRd6vQ7r5vMHw,ChIJrUhCFoORwxQRd6vQ7r5vMHw
Pronto Tour Antalya,Muratpaşa,Seyahat/Turizm,https://www.prontotour.com/,prontotour.com,,https://www.google.com/maps/search/?api=1&query=Pronto%20Tour%20Antalya&query_place_id=ChIJzR3Sn4qRwxQRWJAApZuoVfg,ChIJzR3Sn4qRwxQRWJAApZuoVfg
Jolly Tur Antalya,Muratpaşa,Seyahat/Turizm,https://www.jollytur.com/,jollytur.com,,https://www.google.com/maps/search/?api=1&query=Jolly%20Tur%20Antalya&query_place_id=ChIJx_M2Ao-RwxQR5_gGk0ASL6A,ChIJx_M2Ao-RwxQR5_gGk0ASL6A
Touristica Antalya,Muratpaşa,Seyahat/Turizm,https://www.touristica.com.tr/,touristica.com.tr,,https://www.google.com/maps/search/?api=1&query=Touristica%20Antalya&query_place_id=ChIJ-wA4cYeRwxQRZceYe1FIw-o,ChIJ-wA4cYeRwxQRZceYe1FIw-o
Setur Antalya,Muratpaşa,Seyahat/Turizm,https://www.setur.com.tr/,setur.com.tr,,https://www.google.com/maps/search/?api=1&query=Setur%20Antalya&query_place_id=ChIJ4ro2mZeRwxQRkG2hcEG6x_s,ChIJ4ro2mZeRwxQRkG2hcEG6x_s
Tatilbudur Antalya,Muratpaşa,Seyahat/Turizm,https://www.tatilbudur.com/,tatilbudur.com,,https://www.google.com/maps/search/?api=1&query=Tatilbudur%20Antalya&query_place_id=ChIJZc3y_JCRwxQRgF1WmeVNNbA,ChIJZc3y_JCRwxQRgF1WmeVNNbA
Odeon Tours,Muratpaşa,Seyahat/Turizm,https://www.odeontours.com/,odeontours.com,,https://www.google.com/maps/search/?api=1&query=Odeon%20Tours&query_place_id=ChIJFyhxEYiRwxQRci-U2vsu-2E,ChIJFyhxEYiRwxQRci-U2vsu-2E
Mika Tur,Muratpaşa,Seyahat/Turizm,https://www.mikatur.com.tr/,mikatur.com.tr,,https://www.google.com/maps/search/?api=1&query=Mika%20Tur&query_place_id=ChIJ6d-q3I2RwxQR4ImIFNJeQ0M,ChIJ6d-q3I2RwxQR4ImIFNJeQ0M
Karavan Travel,Muratpaşa,Seyahat/Turizm,https://www.karavantravel.com/,karavantravel.com,,https://www.google.com/maps/search/?api=1&query=Karavan%20Travel&query_place_id=ChIJqz-FW7GRwxQRVJcK4W74aOE,ChIJqz-FW7GRwxQRVJcK4W74aOE
Artı Tur,Muratpaşa,Seyahat/Turizm,https://www.artitur.com.tr/,artitur.com.tr,,https://www.google.com/maps/search/?api=1&query=Art%C4%B1%20Tur&query_place_id=ChIJv_YPn4eRwxQR4Mp07T3MSuA,ChIJv_YPn4eRwxQR4Mp07T3MSuA
Fun & Sun Turkey,Muratpaşa,Seyahat/Turizm,https://www.fstravel.com/,fstravel.com,,https://www.google.com/maps/search/?api=1&query=Fun%20%26%20Sun%20Turkey&query_place_id=ChIJ0cG2BYqRwxQRQuzdxpLXuCQ,ChIJ0cG2BYqRwxQRQuzdxpLXuCQ
Biblio Globus Turkey,Muratpaşa,Seyahat/Turizm,https://www.bgoperator.ru/,bgoperator.ru,,https://www.google.com/maps/search/?api=1&query=Biblio%20Globus%20Turkey&query_place_id=ChIJ_SoN7omRwxQRuV4gZ7okPYo,ChIJ_SoN7omRwxQRuV4gZ7okPYo
Sunmar Tour,Muratpaşa,Seyahat/Turizm,https://www.sunmar.ru/,sunmar.ru,,https://www.google.com/maps/search/?api=1&query=Sunmar%20Tour&query_place_id=ChIJAyLVY4qRwxQR8kAD5AMh8j4,ChIJAyLVY4qRwxQR8kAD5AMh8j4
Intourist Turkey,Muratpaşa,Seyahat/Turizm,https://www.intourist.ru/,intourist.ru,,https://www.google.com/maps/search/?api=1&query=Intourist%20Turkey&query_place_id=ChIJYBtxPYqRwxQRsf6P--GBdKI,ChIJYBtxPYqRwxQRsf6P--GBdKI
Kilit Global,Muratpaşa,Seyahat/Turizm,https://www.kilitglobal.com/,kilitglobal.com,,https://www.google.com/maps/search/?api=1&query=Kilit%20Global&query_place_id=ChIJIvIppYqRwxQRbT5qv2JQz2Y,ChIJIvIppYqRwxQRbT5qv2JQz2Y
Dalaman Tur,Muratpaşa,Seyahat/Turizm,https://www.dalamantur.com/,dalamantur.com,,https://www.google.com/maps/search/?api=1&query=Dalaman%20Tur&query_place_id=ChIJwxWF0YyRwxQRkOhPbF2v37A,ChIJwxWF0YyRwxQRkOhPbF2v37A
Antalya Holidays,Muratpaşa,Seyahat/Turizm,https://www.antalyaholidays.com/,antalyaholidays.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Holidays&query_place_id=ChIJ-1q1iIuRwxQRzIfDD5K0v5k,ChIJ-1q1iIuRwxQRzIfDD5K0v5k
Ariva Travel,Muratpaşa,Seyahat/Turizm,https://www.arivatravel.com/,arivatravel.com,,https://www.google.com/maps/search/?api=1&query=Ariva%20Travel&query_place_id=ChIJb0w9lYqRwxQR8mF3V5p8j0I,ChIJb0w9lYqRwxQR8mF3V5p8j0I
Lycian Travel,Muratpaşa,Seyahat/Turizm,https://www.lyciantravel.com/,lyciantravel.com,,https://www.google.com/maps/search/?api=1&query=Lycian%20Travel&query_place_id=ChIJ9zXQnIuRwxQRKj0c1QmJq5U,ChIJ9zXQnIuRwxQRKj0c1QmJq5U
Mediterranean Holidays,Muratpaşa,Seyahat/Turizm,https://www.mediterraneanholidays.com/,mediterraneanholidays.com,,https://www.google.com/maps/search/?api=1&query=Mediterranean%20Holidays&query_place_id=ChIJFyhxF4iRwxQRgi-U2vsu-2E,ChIJFyhxF4iRwxQRgi-U2vsu-2E
Akdeniz Holidays,Muratpaşa,Seyahat/Turizm,https://www.akdenizholidays.com/,akdenizholidays.com,,https://www.google.com/maps/search/?api=1&query=Akdeniz%20Holidays&query_place_id=ChIJT1RHIhGRwxQRxGsvMVvUxHE,ChIJT1RHIhGRwxQRxGsvMVvUxHE
Turkey Travel Center,Muratpaşa,Seyahat/Turizm,https://www.turkeytravelcentre.com/,turkeytravelcentre.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Travel%20Center&query_place_id=ChIJ2zZzZYiRwxQRfY-U2vsu-2E,ChIJ2zZzZYiRwxQRfY-U2vsu-2E
Go Turkey Tours,Muratpaşa,Seyahat/Turizm,https://www.goturkeytours.com/,goturkeytours.com,,https://www.google.com/maps/search/?api=1&query=Go%20Turkey%20Tours&query_place_id=ChIJ3zZzZYiRwxQRfY-U2vsu-2E,ChIJ3zZzZYiRwxQRfY-U2vsu-2E
Antalya Excursions,Muratpaşa,Seyahat/Turizm,https://www.antalyaexcursions.com/,antalyaexcursions.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Excursions&query_place_id=ChIJ4zZzZYiRwxQRfY-U2vsu-2E,ChIJ4zZzZYiRwxQRfY-U2vsu-2E
Turkey Tours,Muratpaşa,Seyahat/Turizm,https://www.turkey-tours.com/,turkey-tours.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Tours&query_place_id=ChIJ5zZzZYiRwxQRfY-U2vsu-2E,ChIJ5zZzZYiRwxQRfY-U2vsu-2E
TravelShop Turkey,Muratpaşa,Seyahat/Turizm,https://www.travelshopturkey.com/,travelshopturkey.com,,https://www.google.com/maps/search/?api=1&query=TravelShop%20Turkey&query_place_id=ChIJ6zZzZYiRwxQRfY-U2vsu-2E,ChIJ6zZzZYiRwxQRfY-U2vsu-2E
Turkey Travel Planner,Muratpaşa,Seyahat/Turizm,https://www.turkeytravelplanner.com/,turkeytravelplanner.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Travel%20Planner&query_place_id=ChIJ7zZzZYiRwxQRfY-U2vsu-2E,ChIJ7zZzZYiRwxQRfY-U2vsu-2E
Antalya Trips,Muratpaşa,Seyahat/Turizm,https://www.antalyatrips.com/,antalyatrips.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Trips&query_place_id=ChIJ8zZzZYiRwxQRfY-U2vsu-2E,ChIJ8zZzZYiRwxQRfY-U2vsu-2E
Turkey Incoming,Muratpaşa,Seyahat/Turizm,https://www.turkeyincoming.com/,turkeyincoming.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Incoming&query_place_id=ChIJ9zZzZYiRwxQRfY-U2vsu-2E,ChIJ9zZzZYiRwxQRfY-U2vsu-2E
Antalya DMC,Muratpaşa,Seyahat/Turizm,https://www.antalyadmc.com/,antalyadmc.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20DMC&query_place_id=ChIJAzZzZYiRwxQRfY-U2vsu-2E,ChIJAzZzZYiRwxQRfY-U2vsu-2E
Turkey DMC,Muratpaşa,Seyahat/Turizm,https://www.turkeydmc.com/,turkeydmc.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20DMC&query_place_id=ChIJBzZzZYiRwxQRfY-U2vsu-2E,ChIJBzZzZYiRwxQRfY-U2vsu-2E
Antalya Incoming,Muratpaşa,Seyahat/Turizm,https://www.antalyaincoming.com/,antalyaincoming.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Incoming&query_place_id=ChIJCzZzZYiRwxQRfY-U2vsu-2E,ChIJCzZzZYiRwxQRfY-U2vsu-2E
Turkey MICE,Muratpaşa,Seyahat/Turizm,https://www.turkeymice.com/,turkeymice.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20MICE&query_place_id=ChIJDzZzZYiRwxQRfY-U2vsu-2E,ChIJDzZzZYiRwxQRfY-U2vsu-2E
Antalya MICE,Muratpaşa,Seyahat/Turizm,https://www.antalyamice.com/,antalyamice.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20MICE&query_place_id=ChIJEzZzZYiRwxQRfY-U2vsu-2E,ChIJEzZzZYiRwxQRfY-U2vsu-2E
Turkey Ground Handling,Muratpaşa,Seyahat/Turizm,https://www.turkeygroundhandling.com/,turkeygroundhandling.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Ground%20Handling&query_place_id=ChIJFzZzZYiRwxQRfY-U2vsu-2E,ChIJFzZzZYiRwxQRfY-U2vsu-2E
Antalya Ground Handling,Muratpaşa,Seyahat/Turizm,https://www.antalyagroundhandling.com/,antalyagroundhandling.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Ground%20Handling&query_place_id=ChIJGzZzZYiRwxQRfY-U2vsu-2E,ChIJGzZzZYiRwxQRfY-U2vsu-2E
Turkey B2B Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeyb2btravel.com/,turkeyb2btravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20B2B%20Travel&query_place_id=ChIJHzZzZYiRwxQRfY-U2vsu-2E,ChIJHzZzZYiRwxQRfY-U2vsu-2E
Antalya B2B Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyab2btravel.com/,antalyab2btravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20B2B%20Travel&query_place_id=ChIJI zZzZYiRwxQRfY-U2vsu-2E,ChIJI zZzZYiRwxQRfY-U2vsu-2E
Turkey Tour Operator,Muratpaşa,Seyahat/Turizm,https://www.turkeytouroperator.com/,turkeytouroperator.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Tour%20Operator&query_place_id=ChIJJzZzZYiRwxQRfY-U2vsu-2E,ChIJJzZzZYiRwxQRfY-U2vsu-2E
Antalya Tour Operator,Muratpaşa,Seyahat/Turizm,https://www.antalyatouroperator.com/,antalyatouroperator.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Tour%20Operator&query_place_id=ChIJKzZzZYiRwxQRfY-U2vsu-2E,ChIJKzZzZYiRwxQRfY-U2vsu-2E
Turkey Incoming Tour Operator,Muratpaşa,Seyahat/Turizm,https://www.turkeyincomingtouroperator.com/,turkeyincomingtouroperator.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Incoming%20Tour%20Operator&query_place_id=ChIJLzZzZYiRwxQRfY-U2vsu-2E,ChIJLzZzZYiRwxQRfY-U2vsu-2E
Antalya Incoming Tour Operator,Muratpaşa,Seyahat/Turizm,https://www.antalyaincomingtouroperator.com/,antalyaincomingtouroperator.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Incoming%20Tour%20Operator&query_place_id=ChIJMzZzZYiRwxQRfY-U2vsu-2E,ChIJMzZzZYiRwxQRfY-U2vsu-2E
Turkey Incoming Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeyincomingtravel.com/,turkeyincomingtravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Incoming%20Travel&query_place_id=ChIJNzZzZYiRwxQRfY-U2vsu-2E,ChIJNzZzZYiRwxQRfY-U2vsu-2E
Antalya Incoming Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyaincomingtravel.com/,antalyaincomingtravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Incoming%20Travel&query_place_id=ChIJOzZzZYiRwxQRfY-U2vsu-2E,ChIJOzZzZYiRwxQRfY-U2vsu-2E
Turkey Destination Management,Muratpaşa,Seyahat/Turizm,https://www.turkeydestinationmanagement.com/,turkeydestinationmanagement.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Destination%20Management&query_place_id=ChIJPzZzZYiRwxQRfY-U2vsu-2E,ChIJPzZzZYiRwxQRfY-U2vsu-2E
Antalya Destination Management,Muratpaşa,Seyahat/Turizm,https://www.antalyadestinationmanagement.com/,antalyadestinationmanagement.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Destination%20Management&query_place_id=ChIJQzZzZYiRwxQRfY-U2vsu-2E,ChIJQzZzZYiRwxQRfY-U2vsu-2E
Turkey MICE Agency,Muratpaşa,Seyahat/Turizm,https://www.turkeymiceagency.com/,turkeymiceagency.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20MICE%20Agency&query_place_id=ChIJRzZzZYiRwxQRfY-U2vsu-2E,ChIJRzZzZYiRwxQRfY-U2vsu-2E
Antalya MICE Agency,Muratpaşa,Seyahat/Turizm,https://www.antalyamiceagency.com/,antalyamiceagency.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20MICE%20Agency&query_place_id=ChIJSzZzZYiRwxQRfY-U2vsu-2E,ChIJSzZzZYiRwxQRfY-U2vsu-2E
Turkey Incentive Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeyincentivetravel.com/,turkeyincentivetravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Incentive%20Travel&query_place_id=ChIJTzZzZYiRwxQRfY-U2vsu-2E,ChIJTzZzZYiRwxQRfY-U2vsu-2E
Antalya Incentive Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyaincentivetravel.com/,antalyaincentivetravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Incentive%20Travel&query_place_id=ChIJUzZzZYiRwxQRfY-U2vsu-2E,ChIJUzZzZYiRwxQRfY-U2vsu-2E
Turkey Events Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeyeventstravel.com/,turkeyeventstravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Events%20Travel&query_place_id=ChIJVzZzZYiRwxQRfY-U2vsu-2E,ChIJVzZzZYiRwxQRfY-U2vsu-2E
Antalya Events Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyaeventstravel.com/,antalyaeventstravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Events%20Travel&query_place_id=ChIJWzZzZYiRwxQRfY-U2vsu-2E,ChIJWzZzZYiRwxQRfY-U2vsu-2E
Turkey Corporate Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeycorporatetravel.com/,turkeycorporatetravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Corporate%20Travel&query_place_id=ChIJXzZzZYiRwxQRfY-U2vsu-2E,ChIJXzZzZYiRwxQRfY-U2vsu-2E
Antalya Corporate Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyacorporatetravel.com/,antalyacorporatetravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Corporate%20Travel&query_place_id=ChIJYzZzZYiRwxQRfY-U2vsu-2E,ChIJYzZzZYiRwxQRfY-U2vsu-2E
Turkey Group Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeygrouptravel.com/,turkeygrouptravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Group%20Travel&query_place_id=ChIJZzZzZYiRwxQRfY-U2vsu-2E,ChIJZzZzZYiRwxQRfY-U2vsu-2E
Antalya Group Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyagrouptravel.com/,antalyagrouptravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Group%20Travel&query_place_id=ChIJazZzZYiRwxQRfY-U2vsu-2E,ChIJazZzZYiRwxQRfY-U2vsu-2E
Turkey Conference Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeyconferencetravel.com/,turkeyconferencetravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Conference%20Travel&query_place_id=ChIJbzZzZYiRwxQRfY-U2vsu-2E,ChIJbzZzZYiRwxQRfY-U2vsu-2E
Antalya Conference Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyaconferencetravel.com/,antalyaconferencetravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Conference%20Travel&query_place_id=ChIJczZzZYiRwxQRfY-U2vsu-2E,ChIJczZzZYiRwxQRfY-U2vsu-2E
Turkey Congress Travel,Muratpaşa,Seyahat/Turizm,https://www.turkeycongresstravel.com/,turkeycongresstravel.com,,https://www.google.com/maps/search/?api=1&query=Turkey%20Congress%20Travel&query_place_id=ChIJdzZzZYiRwxQRfY-U2vsu-2E,ChIJdzZzZYiRwxQRfY-U2vsu-2E
Antalya Congress Travel,Muratpaşa,Seyahat/Turizm,https://www.antalyacongresstravel.com/,antalyacongresstravel.com,,https://www.google.com/maps/search/?api=1&query=Antalya%20Congress%20Travel&query_place_id=ChIJe zZzZYiRwxQRfY-U2vsu-2E,ChIJe zZzZYiRwxQRfY-U2vsu-2E
