run_date,lead_id,hotel_name,city_area,hotel_type_or_segment,star_or_positioning,website,instagram,phone,verified_email,email_status,email_source_url,website_source_url,phone_source_url,first_contact_channel,confidence_score,short_note,validation_notes
2026-06-16,tntr-ant-bulk-20260616-0013,Tekeli Konakları,Kaleiçi / Muratpaşa,boutique hotel,boutique / mansion hotel,https://www.tekelikonaklari.com/,,,,website-only; no verified published email captured in this run,,https://www.tekelikonaklari.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0014,Hotel 1207 Special Class,Kaleiçi / Muratpaşa,boutique hotel,special class boutique,https://www.hotel1207.com/,,,,website-only; no verified published email captured in this run,,https://www.hotel1207.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0015,Route Hotel Kaleici,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.routehotel.com.tr/,,,,website-only; no verified published email captured in this run,,https://www.routehotel.com.tr/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0016,Palm House 17,Kaleiçi / Muratpaşa,boutique hotel,boutique guesthouse,https://www.palmhouse17.com/,,,,website-only; no verified published email captured in this run,,https://www.palmhouse17.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0017,Bacchus Pension,Kaleiçi / Muratpaşa,pension / boutique stay,small foreign-tourist stay,https://www.bacchuspension.com/,,,,website-only; no verified published email captured in this run,,https://www.bacchuspension.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0018,Villa Tulipan,Kaleiçi / Muratpaşa,boutique pension,small foreign-tourist stay,https://www.villatulipan.com/,,,,website-only; no verified published email captured in this run,,https://www.villatulipan.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0019,Delight Deluxe Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.delightdeluxe.com/,,,,website-only; no verified published email captured in this run,,https://www.delightdeluxe.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0020,Patron Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.patronhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.patronhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0021,Castle Old Town Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.castleoldtown.com/,,,,website-only; no verified published email captured in this run,,https://www.castleoldtown.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0022,Sabah Pension,Kaleiçi / Muratpaşa,pension / small hotel,foreign-tourist-facing pension,https://www.sabahpension.com/,,,,website-only; no verified published email captured in this run,,https://www.sabahpension.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0023,Atelya Art Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / art hotel,https://www.atelyahotel.com/,,,,website-only; no verified published email captured in this run,,https://www.atelyahotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0024,La Paloma Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.lapalomahotel.com/,,,,website-only; no verified published email captured in this run,,https://www.lapalomahotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0025,Patio Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.patiohotel.com.tr/,,,,website-only; no verified published email captured in this run,,https://www.patiohotel.com.tr/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0026,Aspendos Suites,Konyaaltı,apart hotel,apart / suites,https://www.aspendossuites.com/,,,,website-only; no verified published email captured in this run,,https://www.aspendossuites.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0027,Ale Boutique Apartments,Konyaaltı,apart hotel,boutique apartments,https://www.aleboutiqueapartments.com/,,,,website-only; no verified published email captured in this run,,https://www.aleboutiqueapartments.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0028,The Suites Antalya,Konyaaltı,apart hotel,suites / apart hotel,https://www.thesuitesantalya.com/,,,,website-only; no verified published email captured in this run,,https://www.thesuitesantalya.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0029,Meyde Boutique Suites,Konyaaltı,apart hotel,boutique suites,https://www.meydeboutiquesuites.com/,,,,website-only; no verified published email captured in this run,,https://www.meydeboutiquesuites.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0030,Trend Suites,Konyaaltı,apart hotel,apart / suites,https://www.trendsuites.com/,,,,website-only; no verified published email captured in this run,,https://www.trendsuites.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0031,Nox Suite,Lara / Muratpaşa,apart hotel,suite apart hotel,https://www.noxsuite.com/,,,,website-only; no verified published email captured in this run,,https://www.noxsuite.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0032,Letstay Hotel,Lara / Muratpaşa,boutique hotel,boutique / city hotel,https://www.letstayhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.letstayhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0033,Villa Sonata,Alanya,apart hotel,apart / boutique stay,https://www.villasonata.com/,,,,website-only; no verified published email captured in this run,,https://www.villasonata.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0034,Kleopatra Atlas Hotel,Alanya,hotel,4-star / adults-only,https://www.kleopatraatlashotel.com/,,,,website-only; no verified published email captured in this run,,https://www.kleopatraatlashotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0035,Riviera Hotel & Spa,Alanya,hotel,4-star beach city hotel,https://www.rivierahotel.com.tr/,,,,website-only; no verified published email captured in this run,,https://www.rivierahotel.com.tr/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0036,Lemon Villa Hotel,Alanya,boutique hotel,boutique hotel,https://www.lemonvilla.com/,,,,website-only; no verified published email captured in this run,,https://www.lemonvilla.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0037,Caligo Apart Hotel,Alanya,apart hotel,apart hotel,https://www.caligoapart.com/,,,,website-only; no verified published email captured in this run,,https://www.caligoapart.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0038,Elegance Hotel Kemer,Kemer,boutique hotel,boutique hotel,https://www.elegancehotelkemer.com/,,,,website-only; no verified published email captured in this run,,https://www.elegancehotelkemer.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0039,Naturella Apart Hotel,Kemer,apart hotel,apart hotel,https://www.naturellaapart.com/,,,,website-only; no verified published email captured in this run,,https://www.naturellaapart.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0040,Hideaway Hotel,Kaş,boutique hotel,boutique hotel,https://www.hideawayhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.hideawayhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0041,Hotel Sonne Kaş,Kaş,hotel,small hotel,https://www.hotelsonne.com/,,,,website-only; no verified published email captured in this run,,https://www.hotelsonne.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0042,Nur Hotel Kaş,Kaş,boutique hotel,boutique hotel,https://www.nurhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.nurhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0043,Fidanka Hotel,Kalkan,boutique hotel,boutique hotel,https://www.fidankahotel.com/,,,,website-only; no verified published email captured in this run,,https://www.fidankahotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0044,Courtyard Hotel Kalkan,Kalkan,boutique hotel,boutique hotel,https://www.courtyardkalkan.com/,,,,website-only; no verified published email captured in this run,,https://www.courtyardkalkan.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0045,Canada Hotel & Bungalows,Çıralı,boutique hotel / bungalow,small foreign-tourist stay,https://www.canadahotel.net/,,,,website-only; no verified published email captured in this run,,https://www.canadahotel.net/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0046,Kibala Hotel,Çıralı,boutique hotel / bungalow,small foreign-tourist stay,https://www.kibala.com/,,,,website-only; no verified published email captured in this run,,https://www.kibala.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0047,Side Kleopatra Beach Hotel,Side / Manavgat,hotel,3-star / beach hotel,https://www.sidekleopatra.com/,,,,website-only; no verified published email captured in this run,,https://www.sidekleopatra.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0048,Aura Boutique Hotel Side,Side / Manavgat,boutique hotel,boutique hotel,https://www.auraboutiquehotel.com/,,,,website-only; no verified published email captured in this run,,https://www.auraboutiquehotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0049,Side Apart Hotel,Side / Manavgat,apart hotel,apart hotel,https://www.sideaparthotel.com/,,,,website-only; no verified published email captured in this run,,https://www.sideaparthotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0050,Ceres Hotel Belek,Belek,hotel,3-star / city hotel,https://www.cereshotel.com/,,,,website-only; no verified published email captured in this run,,https://www.cereshotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
